"","Besuche","Besucher","Anteil_Besuche_mit_Cookies","Anteil_Besucher_mit_Cookies","Besuchsh__ufigkeit","Seitenaufrufe","Seiten_pro_Besuch","Zeit_im_Besuch","Bounce_Rate","Bounce_Zeit","Conversions__Last_Ad_","Conversion_Wert__Last_Ad_","Conversion_Rate__Last_Ad_"
"Besuche",1,0.997845039785626,-0.343489542075039,-0.324151788954974,0.142002855963594,0.827662219263226,0.505706340204178,0.881350705770736,-0.551563901400791,0.403671141189579,NA,NA,NA
"Besucher",0.997845039785626,1,-0.362065881893776,-0.34476403081788,0.146878603434102,0.835932028294757,0.519649383319575,0.874165413326452,-0.564889102345416,0.386627960281397,NA,NA,NA
"Anteil_Besuche_mit_Cookies",-0.343489542075039,-0.362065881893776,1,0.997618405756784,-0.241388722356035,-0.525667300180025,-0.637075381701295,-0.228321816965866,0.712607860469968,0.057895893371647,NA,NA,NA
"Anteil_Besucher_mit_Cookies",-0.324151788954974,-0.34476403081788,0.997618405756784,1,-0.29511245738334,-0.523983646269279,-0.646096432863779,-0.20167258972519,0.720265502300764,0.087349913186765,NA,NA,NA
"Besuchsh__ufigkeit",0.142002855963594,0.146878603434102,-0.241388722356035,-0.29511245738334,1,0.250549949698853,0.320650816887923,0.109084098641782,-0.535455493526793,-0.0386399814791698,NA,NA,NA
"Seitenaufrufe",0.827662219263226,0.835932028294757,-0.525667300180025,-0.523983646269279,0.250549949698853,1,0.884274985565117,0.567774916365327,-0.855896558255771,-0.0838521063102208,NA,NA,NA
"Seiten_pro_Besuch",0.505706340204178,0.519649383319575,-0.637075381701295,-0.646096432863779,0.320650816887923,0.884274985565117,1,0.246330411518372,-0.954723633365722,-0.356072903555525,NA,NA,NA
"Zeit_im_Besuch",0.881350705770736,0.874165413326452,-0.228321816965866,-0.20167258972519,0.109084098641782,0.567774916365327,0.246330411518372,1,-0.321241304228494,0.71833687076643,NA,NA,NA
"Bounce_Rate",-0.551563901400791,-0.564889102345416,0.712607860469968,0.720265502300764,-0.535455493526793,-0.855896558255771,-0.954723633365722,-0.321241304228494,1,0.270949791530128,NA,NA,NA
"Bounce_Zeit",0.403671141189579,0.386627960281397,0.057895893371647,0.087349913186765,-0.0386399814791698,-0.0838521063102208,-0.356072903555525,0.71833687076643,0.270949791530128,1,NA,NA,NA
"Conversions__Last_Ad_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Conversion_Wert__Last_Ad_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Conversion_Rate__Last_Ad_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
