gemeinde,anzahl,anteil
"Bad Oldesloe, Stadt",72,0.20809248554913296
"Ahrensburg, Stadt",36,0.10404624277456648
"Reinbek, Stadt",30,0.08670520231213873
Jersbek,22,0.06358381502890173
Travenbrück,19,0.05491329479768786
Trittau,18,0.05202312138728324
Großhansdorf,17,0.049132947976878616
Westerau,13,0.03757225433526012
"Bargteheide, Stadt",12,0.03468208092485549
Grabau,10,0.028901734104046242
"Reinfeld (Holstein), Stadt",10,0.028901734104046242
Steinburg,9,0.02601156069364162
Großensee,7,0.02023121387283237
Siek,7,0.02023121387283237
Tangstedt,7,0.02023121387283237
"Glinde, Stadt",5,0.014450867052023121
Witzhave,5,0.014450867052023121
Bargfeld-Stegen,4,0.011560693641618497
Hamfelde,4,0.011560693641618497
Hohenfelde,4,0.011560693641618497
Tremsbüttel,4,0.011560693641618497
Hamberge,3,0.008670520231213872
Rümpel,3,0.008670520231213872
Wesenberg,3,0.008670520231213872
Zarpen,3,0.008670520231213872
Braak,2,0.005780346820809248
Grönwohld,2,0.005780346820809248
Hoisdorf,2,0.005780346820809248
Klein Wesenberg,2,0.005780346820809248
Lütjensee,2,0.005780346820809248
Barnitz,1,0.002890173410404624
Brunsbek,1,0.002890173410404624
Feldhorst,1,0.002890173410404624
Lasbek,1,0.002890173410404624
Mönkhagen,1,0.002890173410404624
Neritz,1,0.002890173410404624
Pölitz,1,0.002890173410404624
Rethwisch,1,0.002890173410404624
Todendorf,1,0.002890173410404624
