Variable,Statistik,Wert
Bund_in_Euro,Max,414000
Bund_in_Euro,Min,205000
Bund_in_Euro,Mittelwert,276000
Bund_in_Euro,N,3
Bund_in_Euro,SD,119528.23934116992
Bund_in_Euro,Summe,828000
Gesamt_in_Euro,Max,460000
Gesamt_in_Euro,Min,11000
Gesamt_in_Euro,Mittelwert,153333.33333333334
Gesamt_in_Euro,N,6
Gesamt_in_Euro,SD,177192.17439454448
Gesamt_in_Euro,Summe,920000
Land_in_Euro,Max,46000
Land_in_Euro,Min,11000
Land_in_Euro,Mittelwert,23000
Land_in_Euro,N,4
Land_in_Euro,SD,15769.168230019828
Land_in_Euro,Summe,92000
