variable,fehlend_anteil
Unnamed__14,1
Besuchsh__ufigkeit,0.22580645161290322
Besuchsh_freq_num,0.22580645161290322
Datum,0.03225806451612903
Datum_parsed,0.03225806451612903
Besuche,0
Besucher,0
Anteil_Besuche_mit_Cookies,0
Anteil_Besucher_mit_Cookies,0
Seitenaufrufe,0
Seiten_pro_Besuch,0
Zeit_im_Besuch,0
Bounce_Rate,0
Bounce_Zeit,0
Conversions__Last_Ad_,0
Conversion_Wert__Last_Ad_,0
Conversion_Rate__Last_Ad_,0
Anteil_Besuche_mit_Cookies_num,0
Anteil_Besucher_mit_Cookies_num,0
Bounce_Rate_num,0
Conversion_Rate__Last_Ad__num,0
Zeit_im_Besuch_sec,0
Bounce_Zeit_sec,0
