Variable,N,Mittelwert,SD,Min,Q1,Median,Q3,Max
Besuche,30,2734.866666666667,791.2824916609715,1463,1884.5,3070.5,3325.5,4149
Besucher,30,2287.5,615.6852504211928,1286,1619.25,2557.5,2722.5,3358
Anteil_Besuche_mit_Cookies,30,0.0013666666666666666,0.0012055427546683417,0,3.25e-4,0.00135,0.001875,0.0041
Anteil_Besucher_mit_Cookies,30,0.0016133333333333334,0.0014219300466166626,0,3.25e-4,0.0016000000000000003,0.0023,0.0047
Besuchsh__ufigkeit,23,1.0434782608695652,0.20851441405707477,1,1,1,1,2
Seitenaufrufe,30,7007.1,3706.4069072443954,2672,4457,6815,7760.75,17430
Seiten_pro_Besuch,30,2.459,0.7269461394458138,1.69,1.9525,2.21,2.7299999999999995,4.69
Bounce_Rate,30,0.6177733333333333,0.08576356807640062,0.4438,0.5656249999999999,0.6371,0.67345,0.7252
Conversions__Last_Ad_,30,0,0,0,0,0,0,0
Conversion_Wert__Last_Ad_,30,0,0,0,0,0,0,0
Conversion_Rate__Last_Ad_,30,0,0,0,0,0,0,0
zeit_im_besuch_sec,30,79.1,15.095900334082486,54,62.5,86,90,104
bounce_zeit_sec,30,54.266666666666666,14.656841013866089,36,39.25,56,67.75,80
