spalte,anzahl_auspraegungen,fehlende_werte,anteil_fehlend_prozent,haeufigste_auspraegung,haeufigste_anzahl
Begr_ndung,42,2438,21.822413175796633,"Geschichtlich, Städtebaulich",3075
FotoURL,8755,2416,21.625492302184032,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/13049.jpg,2
Schutzumfang,2696,6,0.05370569280343716,gesamtes Objekt,4283
Adresse_Lage,7693,5,0.044754744002864305,Dorfstraße,129
Bezeichnung,5627,0,0.0,Wohnhaus,1140
Beschreibung,5323,0,0.0,Alteintragung (Aktualisierung vorgesehen),5494
Gemeinde,757,0,0.0,"Flensburg, Stadt",1067
Kreis,14,0,0.0,Kreis Nordfriesland,1628
Kulturdenkmaltyp,7,0,0.0,Bauliche Anlage,9012
