,Besuche,Besucher,Anteil_Besuche_mit_Cookies,Anteil_Besucher_mit_Cookies,Seitenaufrufe,Seiten_pro_Besuch,Bounce_Rate,Conversions__Last_Ad_,Conversion_Wert__Last_Ad_,Conversion_Rate__Last_Ad_,Zeit_im_Besuch_Sek,Bounce_Zeit_Sek
Besuche,1.0,0.9978450397856263,-0.34348954207503885,-0.32415178895497426,0.8276622192632259,0.5057063402041785,-0.5515639014007916,,,,0.8813507057707362,0.40367114118957875
Besucher,0.9978450397856263,1.0,-0.36206588189377603,-0.3447640308178798,0.8359320282947573,0.5196493833195757,-0.5648891023454161,,,,0.8741654133264518,0.3866279602813969
Anteil_Besuche_mit_Cookies,-0.34348954207503885,-0.36206588189377603,1.0,0.9976184057567837,-0.5256673001800254,-0.6370753817012953,0.7126078604699682,,,,-0.22832181696586568,0.057895893371647106
Anteil_Besucher_mit_Cookies,-0.32415178895497426,-0.3447640308178798,0.9976184057567837,1.0,-0.5239836462692787,-0.6460964328637794,0.7202655023007639,,,,-0.2016725897251906,0.08734991318676504
Seitenaufrufe,0.8276622192632259,0.8359320282947573,-0.5256673001800254,-0.5239836462692787,1.0,0.8842749855651165,-0.8558965582557707,,,,0.567774916365327,-0.0838521063102208
Seiten_pro_Besuch,0.5057063402041785,0.5196493833195757,-0.6370753817012953,-0.6460964328637794,0.8842749855651165,1.0,-0.9547236333657227,,,,0.24633041151837165,-0.35607290355552507
Bounce_Rate,-0.5515639014007916,-0.5648891023454161,0.7126078604699682,0.7202655023007639,-0.8558965582557707,-0.9547236333657227,1.0,,,,-0.3212413042284939,0.2709497915301283
Conversions__Last_Ad_,,,,,,,,,,,,
Conversion_Wert__Last_Ad_,,,,,,,,,,,,
Conversion_Rate__Last_Ad_,,,,,,,,,,,,
Zeit_im_Besuch_Sek,0.8813507057707362,0.8741654133264518,-0.22832181696586568,-0.2016725897251906,0.567774916365327,0.24633041151837165,-0.3212413042284939,,,,1.0,0.7183368707664298
Bounce_Zeit_Sek,0.40367114118957875,0.3866279602813969,0.057895893371647106,0.08734991318676504,-0.0838521063102208,-0.35607290355552507,0.2709497915301283,,,,0.7183368707664298,1.0
