,typ,Ortsteil,Einzugsdatum,Registrierungssdatum,Alter,Geschlecht,Staat,Gebiet,Unterkunftsart,Wohndauer
typ,,,,,,,,,,
Ortsteil,,1.0,-0.07304402018815814,-0.07704914858152559,-0.008916349673552756,-0.003954541399884082,-0.09493974783314159,0.057297816835555355,,0.06362391291726516
Einzugsdatum,,-0.07304402018815814,1.0,0.8207772028119702,0.09442523229284752,-0.0814972253996344,0.17702708897232172,-0.08300250111051966,,-0.1230386670366925
Registrierungssdatum,,-0.07704914858152559,0.8207772028119702,1.0,0.06561361254352739,-0.057783210654920675,0.10541463290901232,-0.15335083884223077,,0.8162544173685626
Alter,,-0.008916349673552756,0.09442523229284752,0.06561361254352739,1.0,0.1766119973077764,0.06710843796446414,0.01394988508798324,,-0.015358617547378453
Geschlecht,,-0.003954541399884082,-0.0814972253996344,-0.057783210654920675,0.1766119973077764,1.0,-0.0622724988929494,0.004796680622536145,,0.025278840350794123
Staat,,-0.09493974783314159,0.17702708897232172,0.10541463290901232,0.06710843796446414,-0.0622724988929494,1.0,0.057289990740653635,,0.015176354144447913
Gebiet,,0.057297816835555355,-0.08300250111051966,-0.15335083884223077,0.01394988508798324,0.004796680622536145,0.057289990740653635,1.0,,0.41111678102710353
Unterkunftsart,,,,,,,,,,
Wohndauer,,0.06362391291726516,-0.1230386670366925,0.8162544173685626,-0.015358617547378453,0.025278840350794123,0.015176354144447913,0.41111678102710353,,1.0
