datum,anzahl
2022-02-24,14
2022-02-25,18
2022-02-26,50
2022-02-27,63
2022-02-28,171
2022-03-01,207
2022-03-02,135
2022-03-03,173
2022-03-04,176
2022-03-05,229
2022-03-06,392
2022-03-07,351
2022-03-08,434
2022-03-09,458
2022-03-10,371
2022-03-11,360
2022-03-12,275
2022-03-13,263
2022-03-14,255
2022-03-15,341
2022-03-16,294
2022-03-17,257
2022-03-18,302
2022-03-19,118
2022-03-20,154
2022-03-21,282
2022-03-22,283
2022-03-23,150
2022-03-24,328
2022-03-25,420
2022-03-26,85
2022-03-27,80
2022-03-28,157
2022-03-29,195
2022-03-30,359
2022-03-31,209
2022-04-01,351
2022-04-02,67
2022-04-03,37
2022-04-04,149
2022-04-05,161
2022-04-06,333
2022-04-07,303
2022-04-08,274
2022-04-09,46
2022-04-10,62
2022-04-11,177
2022-04-12,132
2022-04-13,141
2022-04-14,185
2022-04-15,85
2022-04-16,36
2022-04-17,38
2022-04-18,32
2022-04-19,192
2022-04-20,191
2022-04-21,105
2022-04-22,109
2022-04-23,33
2022-04-24,34
2022-04-25,205
2022-04-26,189
2022-04-27,126
2022-04-28,177
2022-04-29,107
2022-04-30,8
2022-05-01,170
2022-05-02,127
2022-05-03,39
2022-05-04,62
2022-05-05,94
2022-05-06,68
2022-05-07,30
2022-05-08,32
2022-05-09,106
2022-05-10,62
2022-05-11,123
2022-05-12,38
2022-05-13,40
2022-05-14,16
2022-05-15,59
2022-05-16,47
2022-05-17,30
2022-05-18,42
2022-05-19,52
2022-05-20,57
2022-05-21,13
2022-05-22,19
2022-05-23,28
2022-05-24,44
2022-05-25,21
2022-05-26,13
2022-05-27,30
2022-05-28,12
2022-05-29,12
2022-05-30,21
2022-05-31,35
2022-06-01,126
2022-06-02,28
2022-06-03,32
2022-06-04,17
2022-06-05,6
2022-06-06,13
2022-06-07,47
2022-06-08,16
2022-06-09,15
2022-06-10,12
2022-06-11,14
2022-06-12,13
2022-06-13,17
2022-06-14,18
2022-06-15,40
2022-06-16,37
2022-06-17,24
2022-06-18,8
2022-06-19,13
2022-06-20,40
2022-06-21,12
2022-06-22,42
2022-06-23,15
2022-06-24,38
2022-06-25,4
2022-06-26,13
2022-06-27,15
2022-06-28,27
2022-06-29,27
2022-06-30,24
2022-07-01,72
2022-07-02,10
2022-07-03,13
2022-07-04,14
2022-07-05,18
2022-07-06,15
2022-07-07,26
2022-07-08,17
2022-07-09,16
2022-07-10,9
2022-07-11,15
2022-07-12,23
2022-07-13,14
2022-07-14,19
2022-07-15,25
2022-07-16,17
2022-07-17,8
2022-07-18,18
2022-07-19,10
2022-07-20,14
2022-07-21,15
2022-07-22,12
2022-07-23,5
2022-07-24,8
2022-07-25,17
2022-07-26,9
2022-07-27,8
2022-07-28,11
2022-07-29,8
2022-07-30,10
2022-07-31,17
2022-08-01,83
2022-08-02,19
2022-08-03,14
2022-08-04,14
2022-08-05,10
2022-08-06,11
2022-08-07,7
2022-08-08,10
2022-08-09,38
2022-08-10,16
2022-08-11,11
2022-08-12,28
2022-08-13,10
2022-08-14,6
2022-08-15,20
2022-08-16,23
2022-08-17,10
2022-08-18,12
2022-08-19,19
2022-08-20,7
2022-08-21,7
2022-08-22,17
2022-08-23,27
2022-08-24,35
2022-08-25,26
2022-08-26,21
2022-08-27,3
2022-08-28,5
2022-08-29,31
2022-08-30,23
2022-08-31,18
2022-09-01,69
2022-09-02,7
2022-09-03,4
2022-09-04,3
2022-09-05,17
2022-09-06,13
2022-09-07,7
2022-09-08,31
2022-09-09,9
2022-09-10,6
2022-09-11,2
2022-09-12,16
2022-09-13,13
2022-09-14,27
2022-09-15,15
2022-09-16,14
2022-09-17,2
2022-09-18,6
2022-09-19,13
2022-09-20,3
2022-09-21,5
2022-09-22,9
2022-09-23,5
2022-09-24,3
2022-09-25,11
2022-09-26,12
2022-09-27,5
2022-09-28,8
2022-09-29,9
2022-09-30,4
2022-10-01,53
2022-10-02,10
2022-10-03,12
2022-10-04,7
2022-10-05,14
2022-10-06,5
2022-10-07,6
2022-10-08,3
2022-10-09,9
2022-10-10,11
2022-10-11,9
2022-10-12,18
2022-10-13,7
2022-10-14,10
2022-10-15,3
2022-10-16,22
2022-10-17,6
2022-10-18,5
2022-10-19,7
2022-10-20,7
2022-10-21,5
2022-10-22,9
2022-10-23,3
2022-10-24,32
2022-10-25,12
2022-10-26,4
2022-10-27,5
2022-10-28,10
2022-10-29,2
2022-10-30,0
2022-10-31,3
2022-11-01,35
2022-11-02,5
2022-11-03,5
2022-11-04,7
2022-11-05,3
2022-11-06,13
2022-11-07,4
2022-11-08,7
2022-11-09,3
2022-11-10,19
2022-11-11,4
2022-11-12,3
2022-11-13,10
2022-11-14,13
2022-11-15,9
2022-11-16,5
2022-11-17,9
2022-11-18,5
2022-11-19,5
2022-11-20,6
2022-11-21,10
2022-11-22,3
2022-11-23,2
2022-11-24,11
2022-11-25,3
2022-11-26,1
2022-11-27,10
2022-11-28,9
2022-11-29,3
2022-11-30,5
2022-12-01,32
2022-12-02,2
2022-12-03,4
2022-12-04,5
2022-12-05,12
2022-12-06,2
2022-12-07,6
2022-12-08,4
2022-12-09,4
2022-12-10,11
2022-12-11,8
2022-12-12,5
2022-12-13,3
2022-12-14,3
2022-12-15,4
2022-12-16,3
2022-12-17,0
2022-12-18,0
2022-12-19,3
2022-12-20,5
2022-12-21,1
