vis_index,model,bugs,transformation,compliance,type,encoding,aesthetics
0,gpt-5,7,4,5,8,7,7
0,gpt-4o,9,7,8,9,8,8
0,google/gemini-3-flash-preview,10,10,10,10,10,9
0,x-ai/grok-4.1-fast,10,10,10,10,10,9
0,anthropic/claude-sonnet-4.5,8,7,8,9,8,7
1,gpt-5,7,5,7,8,7,7
1,gpt-4o,9,8,7,9,8,8
1,google/gemini-3-flash-preview,10,10,10,9,10,9
1,x-ai/grok-4.1-fast,10,10,10,10,9,9
1,anthropic/claude-sonnet-4.5,8,7,9,9,8,7
2,gpt-5,7,6,7,8,7,6
2,gpt-4o,9,7,6,8,8,8
2,google/gemini-3-flash-preview,10,8,7,10,9,9
2,x-ai/grok-4.1-fast,10,8,7,9,10,9
2,anthropic/claude-sonnet-4.5,8,5,4,5,6,7
