Beschreibung,Anzahl,Update_benoetigt,Anteil_gesamt
Alteintragung (Aktualisierung vorgesehen),5494,True,0.491765127103473
Aktualisierung vorgesehen,299,True,0.026763336913712854
Doppeleiche; 1898; zum 50-jährigen Jubiläum der Schleswig-Holsteinischen Erhebung gepflanzt; mit Gedenkstein,13,False,0.001163623344074472
"Wohnhof Schilksee; 1976, Architekt Brockstedt, Discher, Brand; Gemeinschaftswohnanlage auf fächerförmigem Grundriss",8,False,0.0007160759040458289
Doppeleiche; 1898; zum 50-jährigen Jubiläum der Schleswig-Holsteinischen Erhebung gepflanzt,4,False,0.00035803795202291446
"Wohn- und Geschäftshaus; um 1900; dreigeschossiger, traufständiger Mauerwerksbau unter Satteldach, straßenseitig verputztes Erdgeschoss und Stuckgliederung in den Obergeschossen",4,False,0.00035803795202291446
Alteintragung,3,True,0.0002685284640171858
"Wohnblock der Arbeiterwohnsiedlung ?Stinkviertel?; 1902-04, Georg Pauly für den Kieler Bau- und Sparverein; zwischen 1900 und 1904 errichtete Anlage aus viergeschossigen um zwei Höfe gruppierten Wohnblockkarrees in dekorativem Wechsel aus Backstein und Putz, Blockecken und Eingangsachsen teilweise durch Risalite betont, Baudekor mit Masken, Mauerankern und vollplastischer Skulptur",3,False,0.0002685284640171858
"Mietwohnungshaus; 1909/10, Heinrich Stav für das Baugeschäft H.N. Popp; fünfgeschossiger Rauputzbau unter Walmdach, Fassade von breitem Mitterisalit mit Loggien bestimmt",3,False,0.0002685284640171858
Alteintragung (Aktualisierung vorgesehen,3,True,0.0002685284640171858
